timestamp,open,high,low,close,volume
1704067200000,8.2045,8.2758,8.1975,8.2666,21355.4129
1704070800000,8.2656,8.3256,8.2438,8.2943,12369.3084
1704074400000,8.2943,8.3,8.2395,8.253,13983.691
1704078000000,8.2492,8.2528,8.1205,8.1487,21374.7396
1704081600000,8.144,8.1761,8.0629,8.1417,14577.2408
1704085200000,8.1396,8.1769,8.0877,8.0957,16173.7125
1704088800000,8.0987,8.1484,8.0959,8.1395,10339.8711
1704092400000,8.1389,8.1714,8.1106,8.1621,18016.9958
1704096000000,8.1681,8.1835,8.1421,8.1835,7874.1248
1704099600000,8.1837,8.2418,8.1711,8.2356,6720.75
1704103200000,8.2348,8.2537,8.216,8.2476,16484.0724
1704106800000,8.2494,8.267,8.2121,8.2382,7953.3389
1704110400000,8.2454,8.2702,8.2122,8.2416,13967.0077
1704114000000,8.2434,8.2816,8.22,8.2722,6917.3849
1704117600000,8.2693,8.2696,8.2082,8.2616,12341.796
1704121200000,8.2645,8.3812,8.2645,8.3812,22347.4645
1704124800000,8.3817,8.4032,8.3077,8.3117,15002.7925
1704128400000,8.3123,8.3869,8.3115,8.3809,10981.798
1704132000000,8.3827,8.545,8.382,8.5036,38158.5449
1704135600000,8.5191,8.5987,8.5176,8.597,24030.4841
1704139200000,8.5941,8.6283,8.5251,8.5586,31660.4676
1704142800000,8.5649,8.5659,8.4983,8.5332,21559.7144
1704146400000,8.5344,8.5461,8.4683,8.53,30436.169
1704150000000,8.5263,8.6268,8.497,8.5944,45510.8459
1704153600000,8.5945,8.706,8.5373,8.6826,66120.4115
1704157200000,8.6827,8.7606,8.6349,8.6645,46445.7168
1704160800000,8.6593,8.7124,8.6182,8.7124,12161.9039
1704164400000,8.7125,8.72,8.6106,8.676,28082.2824
1704168000000,8.6765,8.702,8.6483,8.6942,14866.3701
1704171600000,8.6911,8.6982,8.649,8.6539,10237.8621
1704175200000,8.655,8.6805,8.6168,8.6233,12500.1887
1704178800000,8.623,8.7023,8.6226,8.6948,17405.2515
1704182400000,8.7025,8.7628,8.6828,8.7301,26673.6587
1704186000000,8.7301,8.7749,8.6927,8.7716,26689.258
1704189600000,8.7674,8.8072,8.6686,8.7079,33989.9319
1704193200000,8.7122,8.7464,8.5971,8.6465,29102.0172
1704196800000,8.64,8.7082,8.6097,8.6194,19485.8033
1704200400000,8.6182,8.7526,8.6008,8.7124,19159.5451
1704204000000,8.7124,8.7163,8.4402,8.4962,52785.8602
1704207600000,8.4892,8.5632,8.393,8.4189,59307.0737
1704211200000,8.4173,8.507,8.3632,8.4863,34563.05209588
1704214800000,8.4875,8.4894,8.3846,8.4241,17922.0767
1704218400000,8.4262,8.4888,8.4112,8.4615,17589.3616
1704222000000,8.4634,8.4886,8.3921,8.4359,21912.6658
1704225600000,8.4312,8.4819,8.3429,8.3524,34023.0415
1704229200000,8.3574,8.4121,8.3191,8.4108,31367.8756
1704232800000,8.4124,8.4556,8.3876,8.4447,19464.3753
1704236400000,8.4427,8.4591,8.3744,8.4105,13484.9588
1704240000000,8.4096,8.5032,8.3899,8.4643,14979.2014
1704243600000,8.4611,8.529,8.4536,8.529,8378.735
1704247200000,8.5292,8.5475,8.4523,8.4561,11020.2365
1704250800000,8.4585,8.4585,8.4155,8.4382,24355.6591
1704254400000,8.4385,8.5012,8.4338,8.4769,12058.8562
1704258000000,8.477,8.5755,8.4655,8.522,18804.4199
1704261600000,8.5136,8.5673,8.4977,8.5324,13986.6176
1704265200000,8.5344,8.5527,8.4309,8.4488,42839.2188
1704268800000,8.444,8.5021,8.4355,8.5005,14186.2089
1704272400000,8.5017,8.5504,8.4944,8.5094,15445.6187
1704276000000,8.5099,8.5487,8.4165,8.4599,15048.1752
1704279600000,8.4575,8.4575,8.0843,8.1363,138188.3372
1704283200000,8.1442,8.15,6.4005,7.6548,602259.8079
1704286800000,7.655,7.655,7.4256,7.5876,154992.6866
1704290400000,7.5878,7.5895,7.3475,7.4683,114578.9916
1704294000000,7.469,7.7702,7.4616,7.7643,112369.5084
1704297600000,7.7654,7.7833,7.6317,7.6945,107630.9994
1704301200000,7.6932,7.7136,7.6358,7.7136,28258.9536
1704304800000,7.7112,7.7441,7.5413,7.6011,45548.33649032
1704308400000,7.6019,7.7789,7.5984,7.683,43550.0176
1704312000000,7.6825,7.7944,7.672,7.785,20825.1728
1704315600000,7.7838,7.8167,7.7328,7.8017,19483.6171
1704319200000,7.7997,7.7997,7.6425,7.6732,33859.9623
1704322800000,7.6718,7.6718,7.5855,7.6296,25688.5405
1704326400000,7.6296,7.6956,7.6057,7.6311,69009.5896
1704330000000,7.6308,7.6492,7.4741,7.5178,28657.382
1704333600000,7.5222,7.6381,7.5198,7.628,13124.2659
1704337200000,7.6382,7.6827,7.6055,7.6475,17837.7074
1704340800000,7.6438,7.6959,7.6235,7.6825,11227.6317
1704344400000,7.6828,7.7359,7.6483,7.6974,11325.2986
1704348000000,7.7022,7.7504,7.68,7.6951,9789.5373
1704351600000,7.6971,7.7305,7.5976,7.5976,17506.4485
1704355200000,7.6,7.6347,7.5527,7.5743,14921.41774204
1704358800000,7.58,7.648,7.5727,7.6112,23434.3154
1704362400000,7.6156,7.6435,7.5052,7.5986,22940.1455
1704366000000,7.5992,7.7143,7.5992,7.6689,31799.722
1704369600000,7.6698,7.745,7.6345,7.7147,48995.2402
1704373200000,7.7163,7.7421,7.6513,7.7042,19202.8358
1704376800000,7.703,7.8532,7.6764,7.8513,31661.6282
1704380400000,7.8504,7.9578,7.8059,7.8862,62665.9893
1704384000000,7.8863,7.9025,7.779,7.8378,35282.9876
1704387600000,7.8392,7.8958,7.8049,7.8515,23501.1967
1704391200000,7.8527,7.9034,7.8082,7.878,16587.3211
1704394800000,7.8792,7.97,7.8731,7.8866,44311.4051
1704398400000,7.8846,7.9964,7.8729,7.9126,31674.9787
1704402000000,7.9159,7.9585,7.85,7.8841,32813.53904747
1704405600000,7.8866,7.9505,7.8154,7.8504,18615.4378
1704409200000,7.8654,7.897,7.8272,7.8757,7440.2757
1704412800000,7.8785,7.9439,7.8275,7.9298,18881.1103
1704416400000,7.9236,7.9545,7.527,7.6898,121934.2002
1704420000000,7.6898,7.7758,7.6272,7.6459,59622.8184
