timestamp,open,high,low,close,volume
1784262600000,1.4879,1.4879,1.4853,1.4879,14587
1784263500000,1.4879,1.4926,1.4872,1.4926,54731
1784264400000,1.4916,1.4916,1.4836,1.4881,8562
1784265300000,1.4898,1.4922,1.4829,1.4829,14135
1784266200000,1.4819,1.4819,1.3606,1.4135,1986984
1784267100000,1.4145,1.4234,1.4073,1.4154,158145
1784268000000,1.4175,1.4206,1.4094,1.4101,152496
1784268900000,1.4102,1.4355,1.4057,1.4315,174494
1784269800000,1.4308,1.4443,1.4292,1.4398,65413
1784270700000,1.4398,1.4524,1.4388,1.4464,21244
1784271600000,1.4459,1.4556,1.4449,1.4496,71904
1784272500000,1.4525,1.4566,1.4489,1.4503,11046
1784273400000,1.4527,1.4592,1.4517,1.457,11197
1784274300000,1.4563,1.4732,1.4563,1.4696,38906
1784275200000,1.4701,1.4769,1.4683,1.4765,10274
1784276100000,1.4765,1.4787,1.4627,1.4787,27475
1784277000000,1.479,1.4805,1.4695,1.4732,36292
1784277900000,1.4715,1.4804,1.4712,1.4782,121309
1784278800000,1.4778,1.4932,1.4749,1.4873,191361
1784279700000,1.488,1.4932,1.4872,1.4916,18018
1784280600000,1.4915,1.4926,1.4887,1.4892,23794
1784281500000,1.4894,1.5034,1.4881,1.5011,46890
1784282400000,1.5009,1.5116,1.5009,1.5109,36524
1784283300000,1.5108,1.5171,1.5091,1.5147,104240
1784284200000,1.5143,1.5308,1.5122,1.5286,33468
1784285100000,1.528,1.5349,1.5202,1.5344,43145
1784286000000,1.534,1.5432,1.5317,1.5358,30435
1784286900000,1.5349,1.5367,1.5208,1.5351,73864
1784287800000,1.5358,1.5405,1.5261,1.535,25165
1784288700000,1.5356,1.5408,1.533,1.5381,59460
1784289600000,1.5404,1.5489,1.5346,1.5442,23737
1784290500000,1.5453,1.549,1.5432,1.5434,14002
1784291400000,1.5463,1.5472,1.533,1.5361,18971
1784292300000,1.5338,1.5367,1.5292,1.5353,12511
1784293200000,1.5344,1.5344,1.5108,1.515,20611
1784294100000,1.5152,1.5229,1.5151,1.5203,13342
1784295000000,1.52,1.52,1.5056,1.5056,23324
1784295900000,1.5073,1.5421,1.5073,1.5421,20280
1784296800000,1.5348,1.5381,1.5325,1.5362,6900
1784297700000,1.5359,1.5433,1.5295,1.5389,127131
1784298600000,1.5386,1.5472,1.5386,1.5457,40732
1784299500000,1.5458,1.5471,1.5354,1.5364,115425
1784300400000,1.535,1.5399,1.5288,1.5288,8381
1784301300000,1.5289,1.5292,1.519,1.519,45433
1784302200000,1.5228,1.5247,1.5171,1.5206,1860
1784303100000,1.5199,1.5239,1.5185,1.5238,2016
1784304000000,1.5246,1.5246,1.5213,1.5241,2350
1784304900000,1.5241,1.529,1.5217,1.528,13354
1784305800000,1.5273,1.5347,1.5257,1.5347,13662
1784306700000,1.5343,1.5365,1.5306,1.5359,2294
1784307600000,1.5359,1.5488,1.5359,1.5442,5576
1784308500000,1.5443,1.5484,1.5414,1.5484,2967
1784309400000,1.5489,1.5489,1.5387,1.5414,4405
1784310300000,1.538,1.538,1.5293,1.5293,7066
1784311200000,1.5314,1.5323,1.5273,1.5292,1520
1784312100000,1.527,1.527,1.5223,1.5246,4068
1784313000000,1.5252,1.5269,1.523,1.5232,2234
1784313900000,1.5241,1.5241,1.5189,1.5189,1970
1784314800000,1.5185,1.5281,1.5093,1.5095,13182
1784315700000,1.5086,1.509,1.4972,1.4973,16787
1784316600000,1.4973,1.5011,1.4941,1.4954,1508
1784317500000,1.498,1.5063,1.4948,1.4984,2355
1784318400000,1.4965,1.4969,1.4866,1.4878,4640
1784319300000,1.4877,1.4882,1.482,1.482,10478
1784320200000,1.482,1.4825,1.475,1.4759,41800
1784321100000,1.4758,1.4768,1.4719,1.4736,13563
1784322000000,1.4752,1.4831,1.4728,1.4742,5236
1784322900000,1.474,1.4906,1.4709,1.4884,2809
1784323800000,1.489,1.4934,1.489,1.4924,8739
1784324700000,1.4924,1.4924,1.487,1.487,230
1784325600000,1.488,1.4972,1.4871,1.4957,4349
1784326500000,1.495,1.4954,1.4919,1.4936,2926
1784327400000,1.4945,1.4962,1.4929,1.4929,1753
1784328300000,1.4928,1.4972,1.4913,1.493,762
1784329200000,1.492,1.4992,1.492,1.4953,2632
1784330100000,1.4953,1.4983,1.4952,1.4975,2775
1784331000000,1.4975,1.5,1.4975,1.4982,2155
1784331900000,1.4981,1.5002,1.4965,1.4974,2710
1784332800000,1.4974,1.4977,1.4949,1.4965,6848
1784333700000,1.4965,1.4981,1.4949,1.4954,6155
1784334600000,1.4954,1.4955,1.4902,1.4902,3509
1784335500000,1.4905,1.4935,1.4905,1.4921,2030
1784336400000,1.4915,1.4915,1.4871,1.488,5540
1784337300000,1.4886,1.5005,1.4886,1.5001,2263
1784338200000,1.4973,1.4973,1.4941,1.496,3203
1784339100000,1.4952,1.4952,1.4939,1.4939,410
1784340000000,1.4933,1.4934,1.4883,1.4894,1180
1784340900000,1.4894,1.4912,1.4875,1.4883,397
1784341800000,1.4861,1.487,1.4826,1.4826,1081
1784342700000,1.4814,1.4851,1.4814,1.485,473
1784343600000,1.4849,1.4853,1.4821,1.4853,329
1784344500000,1.4853,1.4873,1.4853,1.4854,2886
1784345400000,1.4836,1.4894,1.4836,1.4863,262
1784346300000,1.4855,1.4864,1.4852,1.4853,331
1784347200000,1.4853,1.4922,1.4853,1.4897,422
1784348100000,1.4903,1.4903,1.4829,1.4854,4674
1784349000000,1.4863,1.4865,1.4806,1.4835,273
